ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
569520,3,0,0,0,0,2,0.8685488613929628,1,0,0,1,10238,0.11727307639707303,0,0,0,0,0
750365,0,1,0,0,1,1,-1.2198496382736332,0,1,0,0,10238,1.6326272767520174,0,0,0,0,1
199901,0,0,0,0,0,3,-0.17754755625369475,1,1,0,0,10238,-0.26156547369166305,0,0,0,0,0
478866,0,1,0,0,2,3,-2.3880667920636935,1,1,0,1,32765,-0.26156547369166305,0,0,0,0,0
731664,1,1,0,1,1,3,-0.9842052064858008,1,1,0,0,32765,0.11727307639707303,0,2,0,1,1
877557,2,0,0,2,0,2,0.7923332573205852,1,0,0,1,10238,0.49611162648580914,0,3,0,3,0
930134,3,1,0,3,0,2,-0.1791044809555265,0,0,1,1,10238,0.49611162648580914,0,7,0,3,0
461006,1,0,0,0,2,3,-0.3658280729162536,0,0,0,1,10238,0.8749501765745452,0,0,0,0,1
68366,2,0,0,2,2,3,0.04316453301099874,0,1,1,0,10238,0.49611162648580914,0,0,0,0,0
445911,2,0,0,0,0,2,0.34892254187555005,1,1,0,1,32765,-0.26156547369166305,0,0,0,0,1
275820,3,1,0,3,0,2,0.8018324803891341,1,0,1,1,10238,-0.6404040237803992,0,6,2,7,0
521399,3,0,0,3,0,2,1.6445943780047259,1,0,1,0,32765,0.11727307639707303,0,4,0,0,0
429728,2,1,0,2,0,2,0.9302717818182462,1,1,1,1,10238,-1.3980811239578714,0,4,1,2,0
569640,0,0,0,0,2,2,0.5777935139885623,1,1,0,1,10238,0.002486210617670396,0,0,0,0,0
980181,1,1,0,1,0,0,-0.4206523160719611,1,1,1,1,10238,0.11727307639707303,0,0,2,1,0
906223,1,0,0,0,0,2,1.8983943063249757,0,0,1,0,10238,0.002486210617670396,0,0,0,0,0
517747,3,1,0,3,2,2,2.1553494716781185,1,1,1,1,32765,0.002486210617670396,0,10,2,1,0
24851,0,1,0,0,1,1,-0.0030433877364575575,0,1,1,0,32765,0.11727307639707303,0,0,0,0,1
104086,1,0,0,0,2,2,1.26554188022709,1,1,0,1,32765,0.002486210617670396,0,0,0,0,1
240658,0,0,0,0,0,3,-0.7582662122450357,1,1,0,1,10238,2.39030437692949,0,0,0,0,1
484399,0,0,0,0,0,3,-0.8213981366303357,0,1,0,0,10238,2.0114658268407535,0,0,0,0,1
912828,0,1,0,0,0,0,0.28524765121156076,1,0,1,1,32765,-1.3980811239578714,0,0,0,0,1
892754,2,1,0,2,1,1,-1.4262246709233866,1,1,1,1,10238,0.49611162648580914,0,3,1,1,0
217,0,1,0,0,1,1,-0.0030433877364575575,0,1,0,0,10238,2.0114658268407535,0,0,0,0,0
633896,3,1,0,3,0,2,-0.11992455935591162,1,1,1,1,32765,-1.7769196740466076,0,13,2,3,0
193110,1,0,0,1,2,0,0.27531745327845675,1,1,1,0,10238,0.8749501765745452,1,0,0,0,0
98515,2,1,0,1,0,0,0.8529109891278178,1,1,0,0,10238,0.49611162648580914,0,1,1,0,0
165623,1,1,0,1,1,1,-1.7045501723391396,1,1,1,0,10238,1.2537887266632812,0,0,0,1,0
493590,1,1,0,1,2,0,0.27516589880133796,0,0,0,0,10238,2.0114658268407535,0,0,0,1,0
389792,3,1,0,0,2,2,1.0286268882546157,1,0,1,1,32765,-1.0192425738691353,0,0,0,0,1
642614,2,1,0,2,0,0,0.0430836900990699,1,0,1,1,92101,-1.7769196740466076,0,2,0,1,0
951465,3,0,0,3,2,2,1.4247029047300555,1,1,1,1,10238,-0.6404040237803992,0,3,1,1,0
496987,0,1,0,0,1,1,-2.6557377581446997,1,1,1,1,10238,-1.0192425738691353,0,0,0,0,0
732437,0,1,0,0,1,1,-1.522520696614083,1,1,0,1,32765,-0.6404040237803992,0,0,0,0,1
146897,1,0,0,0,0,0,0.681141703772482,1,1,1,1,21217,-0.26156547369166305,0,0,0,0,1
316173,0,1,0,0,2,3,-0.0863264191464455,0,0,0,0,32765,-1.3980811239578714,0,0,0,0,1
9013,1,1,0,1,0,3,0.8386730980731624,1,1,0,1,10238,2.0114658268407535,0,3,0,2,0
511757,2,0,0,1,1,0,-0.0030433877364575575,1,1,1,1,10238,-0.26156547369166305,0,2,0,1,0
429947,3,1,0,3,2,2,-0.0030433877364575575,0,0,0,1,10238,0.11727307639707303,1,6,0,5,0
485660,2,1,0,1,2,2,0.47671573899234615,1,1,0,1,92101,0.8749501765745452,0,1,0,1,0
80496,3,1,0,3,0,2,1.4569289480283372,1,1,1,1,10238,-0.6404040237803992,0,5,1,3,0
478336,2,1,0,2,2,2,1.103341875125195,1,0,0,1,10238,1.6326272767520174,0,4,0,2,0
10843,2,1,0,2,2,2,0.5479510008865142,0,0,1,1,32765,-1.0192425738691353,0,10,2,0,0
397446,0,1,0,0,1,1,-0.8447333842643779,0,1,0,0,10238,1.6326272767520174,0,0,0,0,1
101678,1,0,0,1,0,1,-1.7742251144525152,0,1,0,1,10238,0.49611162648580914,0,1,0,0,1
231661,2,1,0,2,0,0,-0.10718874053689524,0,1,0,0,10238,0.8749501765745452,1,3,0,4,0
173782,3,1,0,2,0,2,0.8423613855985749,1,0,1,1,10238,-1.7769196740466076,0,7,0,5,0
921097,2,0,0,2,2,2,-0.0030433877364575575,1,0,1,1,92101,-0.26156547369166305,0,3,0,2,0
98839,1,0,1,1,2,3,-0.9473501847366148,1,1,0,1,32765,0.11727307639707303,0,1,0,0,0
105372,1,0,1,1,1,3,-0.09437216349045854,0,1,0,1,10238,0.8749501765745452,0,1,0,0,0
888828,2,1,0,2,2,2,1.0964280701228375,1,1,1,0,10238,0.8749501765745452,0,3,0,2,0
37454,1,0,0,0,0,3,0.061114030625466984,0,1,0,0,10238,2.0114658268407535,0,0,0,0,1
370044,3,1,0,2,2,2,0.28402129634072754,0,0,1,1,32765,-1.7769196740466076,0,9,0,1,0
768282,0,0,0,0,2,3,-0.5285635843614362,0,1,1,1,10238,-1.3980811239578714,0,0,0,0,1
738729,0,0,0,0,1,3,-0.04214971330558677,1,1,1,1,10238,-1.7769196740466076,0,0,0,0,1
437535,1,0,0,1,0,0,-0.0030433877364575575,1,0,1,0,10238,1.2537887266632812,0,0,0,0,0
329536,0,0,0,0,0,1,-0.42214869904829944,0,1,0,0,32765,-1.0192425738691353,0,0,0,0,1
328531,2,0,0,2,2,0,-0.9904329360874947,0,0,0,1,32765,0.11727307639707303,0,2,0,1,0
123941,2,0,0,2,2,0,0.4153320878067344,1,0,1,1,10238,0.002486210617670396,0,0,0,0,0
131881,1,1,0,1,2,3,0.26111283553733,1,1,0,0,10238,1.6326272767520174,0,0,1,0,0
839572,2,1,0,2,0,3,-0.48704290037167447,0,1,1,1,10238,0.11727307639707303,0,3,0,1,0
171578,1,1,0,1,2,2,-0.0030433877364575575,1,1,1,1,10238,-1.3980811239578714,0,2,0,1,0
589757,2,0,0,2,0,2,0.14678275859901554,1,1,1,1,92101,-1.7769196740466076,0,2,0,0,0
336859,0,0,0,0,2,0,0.758525476759273,1,1,0,1,10238,1.2537887266632812,0,0,0,0,1
788111,2,0,1,2,0,1,-0.47547250206981845,1,1,1,1,10238,0.002486210617670396,0,1,0,1,0
